index,word0,word1,word2,word3,word4,word5
0,apple,iphone,ipad,apples,blackberry,ipod
1,iphone,ipad,ipod,3gs,android,apple
2,ipad,iphone,ipod,kindle,android,apple
3,apples,pears,bananas,oranges,peaches,strawberries
4,blackberry,iphone,smartphone,nokia,android,apple
5,ipod,iphone,ipad,itouch,zune,ipods
6,microsoft,windows,google,ibm,xp,adobe
7,windows,xp,window,vista,microsoft,os
8,google,yahoo,facebook,twitter,youtube,app
9,ibm,microsoft,hewlett-packard,hp,thinkpad,compaq
10,xp,windows,vista,sp2,winxp,x64
11,adobe,photoshop,cs5,cs3,cs4,acrobat
12,google,yahoo,facebook,twitter,youtube,app
13,yahoo,aol,google,msn,facebook,bing
14,facebook,twitter,linkedin,google,youtube,myspace
15,twitter,facebook,linkedin,tweet,tweets,youtube
16,youtube,videos,video,facebook,twitter,google
17,app,apps,android,iphone,ipad,google
18,amazon,amazon.com,kindle,ebay,itunes,google
19,amazon.com,amazon,amazon.co.uk,ebay,amazon.ca,walmart.com
20,kindle,nook,ipad,e-book,ereader,ebook
21,ebay,e-bay,amazon.com,selling,sell,auction
22,itunes,ipod,app,spotify,ipad,youtube
23,google,yahoo,facebook,twitter,youtube,app
24,processor,processors,cpu,microprocessor,dual-core,processing
25,processors,processor,cpus,cpu,microprocessors,intel
26,cpu,processor,gpu,cpus,motherboard,intel
27,microprocessor,microcontroller,microcomputer,microprocessors,circuitry,processor
28,dual-core,quad-core,1ghz,ghz,tegra,single-core
29,processing,process,processes,processed,processor,handling
30,software,freeware,computer,softwares,tool,tools
31,freeware,shareware,software,screenshot,download,downloads
32,computer,computers,pc,software,laptop,computing
33,softwares,software,freeware,sofware,apps,antivirus
34,tool,tools,utility,software,useful,allows
35,tools,tool,software,useful,use,using
36,cpu,processor,gpu,cpus,motherboard,intel
37,processor,processors,cpu,microprocessor,dual-core,processing
38,gpu,gpus,nvidia,cpu,geforce,ati
39,cpus,motherboards,cpu,processors,gpus,chipsets
40,motherboard,mobo,mainboard,motherboards,chipset,gigabyte
41,intel,amd,cpu,nvidia,pentium,chipset
42,multiprocessing,multiprocessor,multi-processor,multithreading,smp,multi-core
43,multiprocessor,multi-processor,multiprocessors,multiprocessing,uniprocessor,multi-core
44,multi-processor,multiprocessor,multi-core,multiprocessing,multi-cpu,fault-tolerant
45,multithreading,multi-threading,multithreaded,multi-threaded,multi-core,multiprocessing
46,smp,kernel,multiprocessing,sparc,multiprocessor,multi-core
47,multi-core,multicore,multi-processor,multi-threading,gpus,multi-threaded
48,software,freeware,computer,softwares,tool,tools
49,freeware,shareware,software,screenshot,download,downloads
50,computer,computers,pc,software,laptop,computing
51,softwares,software,freeware,sofware,apps,antivirus
52,tool,tools,utility,software,useful,allows
53,tools,tool,software,useful,use,using
